name,id,description,nutrition,ingredients,time,diet,type,amount
samosa,1,"A samosa or singara is a fried South Asian pastry with a savoury filling, including ingredients such as spiced potatoes, onions, and peas. It may take different forms, including triangular, cone, or half-moon shapes, depending on the region.","308,32,17.9,4.7","potato,flour,garlic,onion,pea,cumin,masala",lunch,vegetarian,alone,1 unit
aato bhat(maize rice),2,"Makai or maize is one of the most popular food items in Nepal and Nepali households. Grown in almost all the regions of Nepal, the popularity of maize and its cuisines are not only limited to one part of the country but is spread around many. There are many varieties of cuisines to be made by maize such as grilled maize, boiled maize, fried maize, corn chili, makai ko roti, etc. and one among them is makai ko bhat (maize rice).For the purpose of making rice, the maize is ground into tiny grains that resembles the kanika of rice grains. Makai ko bhat is popular dish to be prepared during the Ekadashi brata (fast). It is light, yet, it could gratify hunger and on the day when rice grains are not allowed to be eaten, makai ko bhat is cooked in the Nepali kitchen.Cooking makai ko bhat is easy and you do not even require many ingredients.","307,76,1,6.7","maize,water","breakfast,lunch,dinner",vegetarian,staple,100 gm
dal bhat,3,"Dal bhat is a traditional meal from the Indian subcontinent, popular in many areas of Nepal, India, Pakistan, Bangladesh. It consists of steamed rice and a cooked lentil or other pulses stew called dal. It is a staple food in these countries. Bhat or chawal means ""boiled rice"" in a number of Indo-Aryan languages.","367,66.8,2.9,4.2","rice,lentil,water,garlic,oil,tomatoes","breakfast,lunch,dinner",vegetarian,staple,2 cups
veg chowmein,4,"A Chinese stir-fried noodle dish which is now a popular streetside food dish across the globe, specifically in Asia. Being a popular dish across countries, Chow mein is made in different ways with many different variations in different places, this one here is the quickest and easiest chowmein recipe, made under 30 minutes. Serve as a brunch or breakfast that kids would just love. You can also serve this as an evening snack or a side for an oriental dinner.","480,57,24,8","noodles,onion,water,salt,oil,ginger,salt,masala,pepper",lunch,vegetarian,alone,100 gm
veg momo,5,"Momo is a type of steamed filled dumpling, with origins from Tibet. Momo is native to Tibet, Nepal as well as Indian Himalayan Region of Ladakh, Sikkim, Assam, and Arunachal Pradesh, Himachal Pradesh, Uttarakhand, and Darjeeling. It is popular across a wider region of the Indian subcontinent.","250,48,2.5,9","flour,onion,garlic,coriander,oil,cabbage,potato,carrot,mushroom,paneer",lunch,vegetarian,alone,7 units
chicken momo,6,"Momo is a type of dumpling that originated in Tibet and is now popular in Nepal, Bhutan, and other regions of the Himalayas. It is made by wrapping seasoned minced meat (often beef or chicken) or vegetables in a thin dough wrapper, which is then steamed or fried. The filling can be spiced with a variety of herbs and spices, and the dumplings are often served with a spicy dipping sauce made from tomato, chili, and garlic.","219,28.2,8.7,8.1","flour,onion,garlic,coriander,oil,cabbage,chicken,fat,tomato,mushroom,paneer",lunch,non-vegetarian,alone,100 gm
buff momo,7,"Buff momo is a type of momo that is made with minced buffalo meat as the filling. It is a popular variation of momo that is commonly found in Nepal, where buff momo is considered a specialty. The minced buffalo meat is usually mixed with spices such as ginger, garlic, and cumin, and then wrapped in a thin dough wrapper before being steamed or fried. ","225,28.2,8.7,9.1","flour,onion,garlic,coriander,oil,cabbage,buff,fat,mushroom,paneer",lunch,non-vegetarian,alone,100 gm
chicken chowmein,8,"Chicken chow mein is a popular Chinese dish made with stir-fried noodles, vegetables, and chicken. The dish typically starts with wheat-based noodles that are boiled and then stir-fried with a combination of vegetables such as onions, bell peppers, carrots, and cabbage, along with diced chicken. The dish is seasoned with a combination of soy sauce, oyster sauce, and other seasonings to give it a savory, umami flavor. Chicken chow mein is a versatile dish that can be customized with different vegetables, meats, or seafood, making it a popular choice in Chinese cuisine both in China and around the world. It is often served as a main course in Chinese restaurants and can also be found as a street food in many parts of Asia.","120,18,2,7","noodles,onion,water,salt,oil,ginger,salt,masala,pepper,chicken",lunch,non-vegetarian,alone,1 cup
chapati,9,"Chapati is a type of flatbread that is commonly consumed in South Asia, particularly in India, Pakistan, Bangladesh, and Nepal. It is made by mixing whole wheat flour with water to form a dough, which is then divided into small portions and rolled out into thin circles. The chapatis are cooked on a hot griddle or tawa until they puff up and develop brown spots on both sides.","120,17,5,3","wheatflour,water","breakfast,lunch,dinner",vegetarian,staple,50 gm
paratha,10,"Paratha is a type of flatbread that is commonly consumed in the Indian subcontinent. It is made by rolling dough into a circular shape, and then folding and layering it repeatedly with ghee or oil before cooking it on a hot griddle or tawa. The result is a crispy, flaky bread that is often eaten for breakfast or as a snack, and can be served with a variety of accompaniments such as yogurt, pickles, or curry. Parathas can also be stuffed with different ingredients like mashed potatoes, vegetables, or paneer, and are then called stuffed parathas. They are a popular and versatile food item in South Asian cuisine.","286,39,10,4","wheatflour,salt,oil,ghee,water","breakfast,lunch,dinner",vegetarian,staple,1 unit
